MAGOHB, RNA transport,hsa03013
MAGOHB, mRNA surveillance pathway,hsa03015
MAGOHB, Spliceosome,hsa03040
PLCL1, GABAergic synapse,hsa04727
P2RY10, Neuroactive ligand-receptor interaction,hsa04080
P2RY12, Platelet activation,hsa04611
SEPTIN7, Shigellosis,hsa05131
RPA1, DNA replication,hsa03030
RPA1, Nucleotide excision repair,hsa03420
RPA1, Mismatch repair,hsa03430
RPA1, Homologous recombination,hsa03440
RPA1, Fanconi anemia pathway,hsa03460
B2M, Antigen processing and presentation,hsa04612
B2M, Human cytomegalovirus infection,hsa05163
B2M, Human T-cell leukemia virus 1 infection,hsa05166
B2M, Herpes simplex virus 1 infection,hsa05168
B2M, Epstein-Barr virus infection,hsa05169
B2M, Human immunodeficiency virus 1 infection,hsa05170
IFITM1, B cell receptor signaling pathway,hsa04662
NXT2, Ribosome biogenesis in eukaryotes,hsa03008
NXT2, RNA transport,hsa03013
NXT2, mRNA surveillance pathway,hsa03015
NXT2, Amyotrophic lateral sclerosis,hsa05014
NXT2, Influenza A,hsa05164
CXCL5, Cytokine-cytokine receptor interaction,hsa04060
CXCL5, Viral protein interaction with cytokine and cytokine receptor,hsa04061
CXCL5, Chemokine signaling pathway,hsa04062
CXCL5, IL-17 signaling pathway,hsa04657
CXCL5, TNF signaling pathway,hsa04668
CXCL5, Pertussis,hsa05133
CXCL5, Rheumatoid arthritis,hsa05323
HMGB1, Base excision repair,hsa03410
HMGB1, Autophagy - animal,hsa04140
HMGB1, Necroptosis,hsa04217
HMGB1, Neutrophil extracellular trap formation,hsa04613
CTNND2, Wnt signaling pathway,hsa04310
CA2, Nitrogen metabolism,hsa00910
CA2, Metabolic pathways,hsa01100
CA2, Proximal tubule bicarbonate reclamation,hsa04964
CA2, Collecting duct acid secretion,hsa04966
CA2, Gastric acid secretion,hsa04971
CA2, Pancreatic secretion,hsa04972
CA2, Bile secretion,hsa04976
TUBB1, Phagosome,hsa04145
TUBB1, Gap junction,hsa04540
TUBB1, Alzheimer disease,hsa05010
TUBB1, Parkinson disease,hsa05012
TUBB1, Amyotrophic lateral sclerosis,hsa05014
TUBB1, Huntington disease,hsa05016
TUBB1, Prion disease,hsa05020
TUBB1, Pathways of neurodegeneration - multiple diseases,hsa05022
TUBB1, Pathogenic Escherichia coli infection,hsa05130
TUBB1, Salmonella infection,hsa05132
HAT1, Neutrophil extracellular trap formation,hsa04613
HAT1, Alcoholism,hsa05034
JAK3, Chemokine signaling pathway,hsa04062
JAK3, PI3K-Akt signaling pathway,hsa04151
JAK3, Necroptosis,hsa04217
