441108,C5orf56
54765,TRIM44
79145,CHCHD7
3299,HSF4
286254,LOC286254
9659,PDE4DIP
9031,BAZ1B
54554,WDR5B
23381,SMG5
8437,RASAL1
79966,SCD5
100131541,LOC100131541
22862,FNDC3A
727957,HEATR7A
83874,TBC1D10A
25858,C11orf20
122970,ACOT4
83666,PARP9
202018,TAPT1
5610,EIF2AK2
138050,HGSNAT
23187,PHLDB1
55794,DDX28
100652906,LOC100652906
2039,EPB49
100507904,LOC100507904
94233,OPN4
152831,KLB
8521,GCM1
6434,TRA2B
55432,YOD1
9400,RECQL5
2317,SCT
143879,KBTBD3
151525,WDSUB1
201625,DNAH12
55920,RCC2
23270,TSPYL4
27125,AFF4
2534,SLK
283849,EXOC3L1
10763,NES
51605,TRMT6
29920,PYCR2
729040,LOC729040
11098,PRSS23
54491,FAM105A
768211,RELL1
8336,HIST1H2AM
3601,IL15RA
23001,WDFY3
2833,CXCR3
4072,EPCAM
79637,ARMC7
1906,EDN1
8208,CHAF1B
220064,ORAOV1
10855,HPSE
5878,RAB5C
10411,RAPGEF3
541565,C8orf58
375056,MIA3
284406,ZFP82
79685,SAP30L
338567,KCNK18
27076,LYPD3
55114,ARHGAP17
143187,VTI1A
79612,NAA16
9912,ARHGAP44
150082,LCA5L
81493,SYNC
55658,RNF126
9208,LRRFIP1
342371,ATXN1L
57091,CASS4
246330,PELI3
414777,HCG18
7726,TRIM26
57117,INTS12
93653,ST7-AS1
7277,TUBA4A
596,BCL2
644538,CXorf69
389333,C5orf65
729956,SHISA7
114823,LENG8
1409,CRYAA
57558,USP35
158863,LOC158863
54496,PRMT7
9829,DNAJC6
8334,HIST1H2AC
11094,C9orf7
286144,C8orf83
90586,AOC4
7529,YWHAB
2346,FOLH1
6764,ST5
100129543,ZNF730
116159,CYYR1
55454,CSGALNACT2
11165,NUDT3
100506661,LOC100506661
1025,CDK9
23291,FBXW11
51441,YTHDF2
23244,PDS5A
8835,SOCS2
25972,UNC50
84333,PCGF5
6711,SPTBN1
22809,ATF5
257000,PLAC2
9814,SFI1
22919,MAPRE1
401410,LOC401410
8495,PPFIBP2
145748,LYSMD4
241,FLAP
154661,RUNDC3B
4781,NFIB
5911,RAP2A
4967,OGDH
5782,PTPN12
5652,PRSS8
8085,MLL2
389834,LOC389834
7099,TLR4
246754,MTVR2
54851,ANKRD49
23293,SMG6
23143,LRCH1
51808,PHAX
3221,HOXC4
1066,CES2
55033,FKBP14
346007,EYS
5775,PTPN4
4299,AFF1
90485,ZNF835
79828,METTL8
64800,EFCAB6
645261,LOC645261
23670,TMEM2
91584,PLXNA4
388536,ZNF790
3642,INSM1
285957,LOC285957
27183,VPS4A
7284,TUFM
7013,TERF1
100505623,LOC100505623
4437,MSH3
144203,OVOS2
7468,WHSC1
142679,DUSP19
23169,SLC35D1
84971,ATG4D
3394,IRF8
84967,LSM10
7567,ZNF19
9890,LPPR4
5167,ENPP1
100303749,LOC100303749
388364,TMIGD1
324,APC
8986,RPS6KA4
10690,FUT9
26173,INTS1
7675,ZNF121
100132948,FAM27A
5435,POLR2F
64332,NFKBIZ
81576,CCDC130
84859,LRCH3
84520,C14orf142
79741,C10orf68
10869,USP19
51271,NAG20
8309,ACOX2
149699,GTSF1L
57705,WDFY4
8718,TNFRSF25
10343,PKDREJ
58499,ZNF462
3910,LAMA4
23262,PPIP5K2
5371,PML
10514,MYBBP1A
23708,GSPT2
5704,PSMC4
8797,TNFRSF10A
145741,C2CD4A
10992,SF3B2
283131,NEAT1
23476,BRD4
130916,MTERFD2
6837,MED22
132720,C4orf32
23523,CABIN1
26053,AUTS2
122953,JDP2
54502,RBM47
83998,REG4
4324,MMP15
80019,UBTD1
147007,TMEM199
140947,C5orf20
80267,EDEM3
79917,MAGIX
100128327,BET3L
5229,PGGT1B
339327,ZNF546
100008589,RN28S1
54862,CC2D1A
1832,DSP
160622,GRASP
84667,HES7
10984,KCNQ1OT1
10890,RAB10
1063,CENPF
27035,NOX1
100528062,BHLHB9
100134256,LOC100134256
139604,MAGEB16
599,BCL2L2
3626,INHBC
283683,LOC283683
80022,MYO15B
3778,KCNMA1
567,B2M
2239,GPC4
4082,MARCKS
7381,UQCRB
6571,SLC18A2
57168,ASPHD2
56664,VTRNA1-1
11273,ATXN2L
57102,C12orf4
256949,KANK3
100379132,SNORA70G
728613,LOC728613
54768,HYDIN
54919,HEATR2
4664,NAB1
400709,SIGLEC16
5178,PEG3
374286,CDRT1
8345,HIST1H2BH
9425,CDYL
84916,CIRH1A
441295,OR2A9P
5743,COX2
493911,PHOSPHO2
1240,CMKLR1
126014,OSCAR
150291,MORC2-AS1
151194,METTL21A
100287506,LOC100287506
6251,RSU1
402415,XKRX
7503,XIST
84501,SPIRE2
29990,PILRB
440348,NPIPL2
9145,SYNGR1
338,APOB
619571,SNORD96A
7141,TNP1
6023,RMRP
5980,REV3L
26973,CHORDC1
6789,MST1
91695,RRP7B
4356,MPP3
27019,DNAI1
51057,WDPCP
9245,GCNT3
100271831,LOC100271831
100533496,FAM18B2-CDRT4
100132909,LOC100132909
3049,HBQ1
79831,JMJD5
126638,RPTN
79937,CNTNAP3
255101,CCDC108
55761,TTC17
9857,CEP350
439996,IFIT1B
23373,CRTC1
6331,SCN5A
3857,KRT9
8492,PRSS12
729082,OIP5-AS1
8519,IFITM1
343521,TCTEX1D4
100507395,LOC100507395
5795,PTPRJ
55423,SIRPG
84335,AKT1S1
50,ACO2
23562,CLDN14
7114,TMSB4X
57380,MRS2
128061,C1orf131
9681,DEPDC5
55666,NPLOC4
56886,UGGT1
23300,ATMIN
10413,YAP1
29914,UBIAD1
6555,SLC10A2
326624,RAB37
200576,CFD
100507199,LOC100507199
100128055,SMARCA5-AS1
84929,FIBCD1
27153,ZNF777
219428,OR4C16
9392,TGFBRAP1
100132101,HERC2P7
219541,MED19
22866,KSR2
8743,TNFSF10
253017,TECRL
192111,PGAM5
113277,TMEM106A
100506694,LOC100506694
23034,SAMD4A
2151,F2RL2
246243,RNASEH1
127833,SYT2
2186,BPTF
6294,SAFB
55735,DNAJC11
55728,N4BP2
7988,ZNF182
143188,LOC143188
50840,TAS2R14
9052,GPRC5A
84552,PARD6G
3429,IFI27
957,ENTPD5
23093,TTLL5
1265,CNN2
220115,TPTE2P3
727832,GOLGA6L6
84701,COX4I2
416,ARSF
64374,SIL1
79039,DDX54
84950,PRPF38A
146050,ZSCAN29
8326,FZD9
7494,XBP1
84948,TIGD5
78998,C8orf51
100132406,NBPF10
23198,PSME4
1032,CDKN2D
8888,MCM3AP
123016,TTC8
8927,BSN
84909,C9orf3
56957,OTUD7B
26750,RPS6KC1
3281,HSBP1
90993,CREB3L1
10252,SPRY1
2904,GRIN2B
90271,LINC00263
221421,RSPH9
2260,FLG
55695,NSUN5
4161,MC5R
392364,LOC392364
55207,ARL8B
284001,CCDC57
653808,ZG16
4928,NUP98
4247,MGAT2
2130,EWSR1
146183,OTOA
84126,ATRIP
81563,C1orf21
51009,DERL2
100132285,KIR2DS2
100379251,NPPA-AS1
7323,UBE2D3
84873,GPR128
136306,SVOPL
10440,TIMM17A
51020,HDDC2
4985,OPRD1
19,ABCA1
11154,AP4S1
50618,ITSN2
79670,ZCCHC6
100652755,LOC100652755
7855,FZD5
1132,CHRM4
441666,LOC441666
100132287,LOC100132287
100462981,MTRNR2L2
91369,ANKRD40
23390,ZDHHC17
3181,HNRNPA2B1
93343,FAM125A
9139,CBFA2T2
4939,OAS2
6490,SI
245935,DEFB122
27243,CHMP2A
442862,PRY2
139596,UPRT
6993,DYNLT1
2734,GLG1
57492,ARID1B
81617,CAB39L
9306,SOCS6
1185,CLCN6
140831,ZSWIM3
141,ADPRH
63943,FKBPL
100507559,LOC100507559
169200,TMEM64
81698,C15orf5
92162,TMEM88
5298,PI4KB
5606,MAP2K3
339479,FAM5C
54471,SMCR7L
4720,NDUFS2
54763,ROPN1
9993,DGCR2
57559,STAMBPL1
7097,TLR2
162968,ZNF497
284240,LOC284240
10142,AKAP9
154,ADRB2
368,ABCC6
100129482,ZNF37BP
337882,KRTAP19-1
54480,CHPF2
11313,LYPLA2
80004,ESRP2
282966,C10orf53
222236,NAPEPLD
645752,LOC645752
1500,CTNND1
2916,GRM6
221613,HIST1H2AA
2979,GUCA1B
29964,TOMM6
6232,RPS27
554251,FBXO48
286382,LOC286382
840,CASP7
2674,GFRA1
135398,C6orf141
54476,RNF216
54586,C9orf11
83548,COG3
4850,CNOT4
7718,ZNF165
440482,ANKRD20A5P
1837,DTNA
284573,LINC00303
